INFO|Sat, 31 Aug 2013 01:45:12 -0400|site|favicon|/favicon.ico|174.6.194.128|live|The site favicon could not be found.
ERROR|Sat, 31 Aug 2013 02:06:54 -0400|visitor|content|/robots.txt|66.249.73.46|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 02:10:25 -0400|visitor|content|/robots.txt|65.55.52.118|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 04:32:57 -0400|visitor|content|/robots.txt|183.60.214.112|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 06:41:01 -0400|visitor|content|/robots.txt|66.249.73.64|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 08:12:26 -0400|visitor|content|/robots.txt|66.249.73.32|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 10:31:47 -0400|page|content|/robots.txt|125.39.126.34|live|404 - Page not found. There is a bad link on <a href="/">/</a>.
ERROR|Sat, 31 Aug 2013 12:39:43 -0400|visitor|content|/robots.txt|157.55.32.116|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 13:54:36 -0400|visitor|content|/robots.txt|178.255.215.67|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 19:20:50 -0400|visitor|content|/robots.txt|66.249.73.64|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 19:54:42 -0400|visitor|content|/robots.txt|157.55.35.43|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 19:56:52 -0400|visitor|content|/facebook|157.55.35.43|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 23:33:49 -0400|visitor|content|/robots.txt|123.125.71.74|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 23:35:03 -0400|visitor|content|/robots.txt|123.125.71.56|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 31 Aug 2013 23:53:36 -0400|visitor|content|/robots.txt|157.55.32.83|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
